English,Turkish
heading,başlık
streets,sokaklar
damage,zarar
silence,sessizlik
doors,kapılar
pete,Pete
ed,ED
success,başarı
wet,ıslak
nah,Hayır
amount,tutar
members,üyeler
kate,Kate
safety,Emniyet
returned,iade
harder,Dahagüçlü
fbi,FBI
block,engellemek
showing,gösteriş
fancy,süslü
chef,şef
contract,sözleşme
dig,kazmak
chest,göğüs
good-bye,Gülegüle
drinks,içecekler
dave,Dave
buried,gömülü
trade,Ticaret
journey,seyahat
changes,değişim
details,detaylar
thoughts,düşünceler
divorce,boşanmak
funeral,cenaze
maria,Maria
football,Futbol
reality,gerçeklik
theory,teori
ruined,harap
gate,geçit
william,William
outta,çıkıntıyapmak
japanese,Japonca
sudden,birden
coat,ceket
cheese,peynir
larry,Larry
spring,bahar
page,sayfa
ears,kulaklar
simon,Simon
castle,kale
hidden,gizlenmiş
storm,fırtına
cos,cos
personally,Şahsen
artist,sanatçı
hill,Tepe
exciting,heyecanverici
permission,izin
jerry,Jerry
forest,orman
barely,zarzor
eggs,yumurtalar
goin,içerigir
regret,pişmanlık
lesson,ders
lover,sevgili
bread,ekmek
andy,Andy
legal,yasal
growing,büyüyen
ill,hasta
jason,Jason
mood,mod
owner,sahip
caused,nedenoldu
beeping,bipsesiçıkaran
dating,flört
loss,kayıp
secretary,Sekreter
santa,NoelBaba
likely,büyükihtimalle
rent,kirayavermek
connection,bağ
assistant,asistan
reasons,sebepler
yelling,bağırmak
painting,tablo
trees,ağaçlar
doctors,doktor
rush,aceleetmek
foreign,yabancı
rough,kaba
murderer,katil
century,yüzyıl
nights,geceler
pair,çift
runs,koşar
pocket,cep
farm,çiftlik
matt,mat
bike,bisiklet
obvious,bariz
ate,yemekyedi
grew,büyümüş
professional,profesyonel
tim,tim
parts,parça
alan,Alan
university,Üniversite
square,Meydan
grandfather,Büyükbaba
europe,Avrupa
genius,dahi
cases,dava
ruin,mahvetmek
winter,kışmevsimi
tongue,dil
memories,hatıralar
da,DA
buying,alış
cancer,kanser
clock,saat
ocean,okyanus
liar,yalancı
thief,hırsız
bleep,bip
lisa,Lisa
rights,Haklar
including,içermek
competition,yarışma
smith,Smith
planned,planlanmış
emily,Emily
victims,kurban
mentioned,adıgeçen
bones,kemikler
bless,kutsamak
warning,uyarı
knocking,çalma
re,tekrar
crash,kaza
bedroom,yatakodası
lower,dahadüşük
silver,gümüş
groaning,inleme
madame,Madam
defense,savunma
toilet,tuvalet
event,Etkinlik
complicated,karmaşık
shape,şekil
priest,rahip
royal,Kraliyet
cheap,ucuz
romantic,romantik
downstairs,altkat
invite,Davetet
tears,gözyaşları
avoid,kaçınmak
reached,ulaşmış
higher,dahayüksek
telephone,telefon
burning,yanma
filled,dolu
kelly,Kelly
alice,Alice
airport,havalimanı
jobs,Meslekler
grown,büyümüş
rachel,Rachel
giant,dev
insurance,sigorta
woods,orman
